"Pos.","N°","Nombre","Puntos","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","227","Rigo German SALAZAR CERON","15","","55.564","Yamaha","Quindío","CLUB MONSTER GARAGE","10"
"2","83","Guillermo Augusto DIAZ","13","8.170","56.458","Yamaha","Quindío","CLUB MONSTER GARAGE","10"
"3","178","Carlos Andres CARDOZO MILLAN","11","15.682","56.777","Yamaha","Tolima","CLUB PISTON RACING","10"
"NT","722","Edwin JARAMILLO GALLEGO","0","NT","58.414","Yamaha","Quindío","CLUB MONSTER GARAGE","7"
"NT","710","Alexander DIAZ CASTAÑO","0","NT","","Yamaha","Cundinamarca","CLUB GIRARDOT RACING",""
