"Pos.","N°","Nombre","Puntos","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","123","Samuel David HERNANDEZ MONTES","15","","58.086","YCF","Cesar","CLUB KALIMA RACING","8"
"2","737","Juan Jose AMAYA VAHOS","13","7.313","58.928","Yamaha","Huila","CLUB MOTO JAPONESA","8"
"3","682","Juan Esteban Carreño Pinzón","11","17.674","1:00.106","YCF","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","8"
"4","662","Carlos Ivan RIVERA BURBANO","10","32.754","1:02.309","YCF","Nariño","CLUB JOSMARC MOTOS RACING","8"
"5","673","JUAN ESTEBAN ESCOBAR GONZALEZ","9","38.471","1:03.082","Yamaha","Quindío","CLUB MONSTER GARAGE","8"
"6","152","Jainer José Messino España","8","41.493","1:03.524","YCF","Cesar","K-LIMA RACING","8"
"NE","168","Jeiccob David CARDOZO VERA","0","NE","","YCF","Tolima","CLUB PISTON RACING",""
