"Pos.","N°","Nombre","Puntos","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","662","Carlos Ivan RIVERA BURBANO","15","","1:02.347","YCF","Nariño","CLUB JOSMARC MOTOS RACING","8"
"2","152","Jainer José Messino España","13","10.056","1:03.992","YCF","Cesar","K-LIMA RACING","8"
"3","747-E","Cristopher Méndez Perdomo","11","43.970","1:08.161","Yamaha","Huila","CLUB MOTO JAPONESA","8"
"4","64-E","Juan David Coronel Alvarez","10","53.020","1:08.120","Yamaha","Huila","CLUB MOTO JAPONESA","8"
"5","825-E","THOMAS RODRIGUEZ TABORDA","9","53.497","1:08.630","YCF","Tolima","GR 522 RACING","8"
"6","735-E","JEAN PAUL RUIZ","8","54.216","1:08.532","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","8"
"7","305-E","JUAN JOSÉ TOVAR MONTILLA","7","1 Vuelta","1:09.588","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","7"
"8","784","Isabella Diaz botero","6","1 Vuelta","1:17.860","Yamaha","Quindío","CLUB MONSTER GARAGE","7"
"NE","307","Juan Jose JIMENEZ HIDALGO","0","NE","","TVS","Nariño","CLUB DEPORTIVO BUFALO XTREM",""
