"Pos.","N°","Nombre","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior"
"1","227","Rigo German SALAZAR CERON","55.073","6","",""
"2","710","Alexander DIAZ CASTAÑO","56.643","2","1.570","1.570"
"3","178","Carlos Andres CARDOZO MILLAN","56.981","2","1.908","0.338"
"4","722","Edwin JARAMILLO GALLEGO","57.733","2","2.660","0.752"
"5","83","Guillermo Augusto DIAZ","58.229","5","3.156","0.496"
"6","217","Juan Benedicto MARTINEZ GUTIERREZ","59.432","3","4.359","1.203"
