"Pos.","N°","Nombre","Puntos","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","227","Rigo German SALAZAR CERON","15","","50.525","Yamaha","Quindío","CLUB MONSTER GARAGE","12"
"2","41","Nicolas DUQUE PATIÑO","13","2.951","50.527","Husqvarna","Meta","VILLAVICENCIO RACING CLUB","12"
"3","98","Mateo CASTELLANOS CARVAJAL","11","11.733","49.531","KTM","Caldas","CLUB JHC RACING","12"
"4","207","David Alejandro FORERO ZAPATA","10","12.761","51.746","Husqvarna","Putumayo","TEAM RACING MOCOA","12"
"5","813","Juan Felipe SIERRA OSORIO","9","13.133","51.909","Husqvarna","Cundinamarca","CLUB GIRARDOT RACING","12"
"6","931","Cesar Augusto VALDIVIESO VARGAS","8","27.096","51.900","Yamaha","Cundinamarca","CLUB GIRARDOT RACING","12"
"7","568-E","Juan Sebastián Arango Giraldo","7","45.034","54.113","Yamaha","Antioquia","Club Deportivo Terras de San Marinno","12"
"8","375","Wilderman RAMIREZ","6","49.284","54.122","Husqvarna","Antioquia","CLUB GRILLOS RACING","12"
"9","330","Mauricio VIEIRA SOTO","5","1 Vuelta","56.787","Husqvarna","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","11"
"NE","155","Juan Felipe HERNANDEZ ALZATE","0","NE","","Yamaha","Meta","CLUB LLANEROS RANCING",""
