"Pos.","N°","Nombre","Puntos","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","255","Juan Sebastian WONG RODRÍGUEZ","15","","57.787","Yamaha","Quindío","CLUB MONSTER GARAGE","8"
"2","214","Gabriel Alejandro VALDIVIESO FLOREZ","13","6.408","59.088","YCF","Bogotá D.C.","Racing pilots Academy","8"
"3","737","Juan Jose AMAYA VAHOS","11","6.695","59.074","Yamaha","Huila","CLUB MOTO JAPONESA","8"
"4","205","Miguel Angel RIVERA MARIN","10","7.318","59.056","YCF","Santander","CLUB FLORIDA EXTREMO","8"
"5","123","Samuel David HERNANDEZ MONTES","9","10.884","57.123","YCF","Cesar","CLUB KALIMA RACING","8"
"NE","168","Jeiccob David CARDOZO VERA","0","NE","","YCF","Tolima","CLUB PISTON RACING",""
"NE","312","Eder Sebastian JARAMILLO YARA","0","NE","","YCF","Tolima","CLUB PISTON RACING",""
