"Pos.","N°","Nombre","Puntos","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","703-E","Jean Carlos aranda González","15","","56.506","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","10"
"2","680","Juan Esteban RIVERA MARIN","13","3.956","57.218","Yamaha","Santander","CLUB FLORIDA EXTREMO","10"
"3","894","Educardo RIOJAS MORENO","11","7.829","57.798","Yamaha","Tolima","CLUB PISTON RACING","10"
"4","453","Alexander MARIN YEPES","10","7.867","57.299","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","10"
"5","524","Jhon Edwar BALLESTEROS CARDONA","9","13.574","58.191","Yamaha","Quindío","CLUB DISCOVER QUINDIO","10"
"6","692","Deibi Alexander naranjo vallejo","8","20.981","58.813","Yamaha","Quindío","CLUB DISCOVER QUINDIO","10"
"7","671","JAIRO HERNAN ESCOBAR CRUZ","7","21.192","58.060","Yamaha","Quindío","CLUB MONSTER GARAGE","10"
"8","430","JOLMAN JHAN CARLOS RUIZ ENRIQUEZ","6","37.274","1:00.445","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","10"
"NT","316","Juan David CAMACHO SAAAVEDRA","0","NT","58.266","Yamaha","Tolima","CLUB BUNDE ESPINAL","9"
"NT","755","Didier Esneider ALBORNOZ IBARGUEN","0","NT","59.980","Yamaha","Quindío","CLUB MONSTER GARAGE","1"
"NE","63","Daniel Esteban tejada","0","NE","","Yamaha","Tolima","CLUB PISTON RACING",""
"NE","631","Johan GOMEZ PEREZ","0","NE","","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO",""
"EX","428","DANIEL QUINTANA CASTRO","0","EX","58.704","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","2"
