"Pos.","N°","Nombre","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior"
"1","680","Juan Esteban RIVERA MARIN","57.804","4","",""
"2","428","DANIEL QUINTANA CASTRO","58.050","4","0.246","0.246"
"3","703-E","Jean Carlos aranda González","58.148","3","0.344","0.098"
"4","63","Daniel Esteban tejada","58.344","5","0.540","0.196"
"5","453","Alexander MARIN YEPES","58.707","5","0.903","0.363"
"6","316","Juan David CAMACHO SAAAVEDRA","58.744","3","0.940","0.037"
"7","524","Jhon Edwar BALLESTEROS CARDONA","58.748","5","0.944","0.004"
"8","755","Didier Esneider ALBORNOZ IBARGUEN","58.961","7","1.157","0.213"
"9","671","JAIRO HERNAN ESCOBAR CRUZ","59.566","3","1.762","0.605"
"10","692","Deibi Alexander naranjo vallejo","59.735","5","1.931","0.169"
"11","430","JOLMAN JHAN CARLOS RUIZ ENRIQUEZ","1:00.876","6","3.072","1.141"
"12","631","Johan GOMEZ PEREZ","","0","",""
"13","894","Educardo RIOJAS MORENO","","0","",""
