"Pos.","N°","Nombre","Puntos","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","98","Mateo CASTELLANOS CARVAJAL","15","","54.729","Yamaha","Caldas","CLUB JHC RACING","10"
"2","88","Gerardo camilo TORRES","13","0.811","54.622","YCF","Valle del Cauca","Dos Ruedas Racing Team","10"
"3","205","Miguel Angel RIVERA MARIN","11","51.868","59.415","YCF","Santander","CLUB FLORIDA EXTREMO","10"
"NT","214","Gabriel Alejandro VALDIVIESO FLOREZ","0","NT","59.439","YCF","Bogotá D.C.","Racing pilots Academy","7"
"EX","255","Juan Sebastian WONG RODRÍGUEZ","0","EX","56.036","Yamaha","Quindío","CLUB MONSTER GARAGE","10"
"EX","424","Juan Manuel FORERO BANDERA","0","EX","56.301","YCF","Tolima","CLUB PISTON RACING","10"
