"Pos.","N°","Nombre","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior"
"1","123","Samuel David HERNANDEZ MONTES","57.040","4","",""
"2","737","Juan Jose AMAYA VAHOS","58.522","5","1.482","1.482"
"3","168","Jeiccob David CARDOZO VERA","59.616","4","2.576","1.094"
"4","682","Juan Esteban Carreño Pinzón","1:00.535","4","3.495","0.919"
"5","673","JUAN ESTEBAN ESCOBAR GONZALEZ","1:03.598","6","6.558","3.063"
"6","152","Jainer José Messino España","1:03.606","3","6.566","0.008"
"7","662","Carlos Ivan RIVERA BURBANO","1:04.066","6","7.026","0.460"
