"Pos.","N°","Nombre","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior"
"1","662","Carlos Ivan RIVERA BURBANO","1:03.848","7","",""
"2","152","Jainer José Messino España","1:04.895","7","1.047","1.047"
"3","735-E","JEAN PAUL RUIZ","1:06.955","7","3.107","2.060"
"4","747-E","Cristopher Méndez Perdomo","1:07.316","5","3.468","0.361"
"5","64-E","Juan David Coronel Alvarez","1:08.078","7","4.230","0.762"
"6","825-E","THOMAS RODRIGUEZ TABORDA","1:09.650","3","5.802","1.572"
"7","305-E","JUAN JOSÉ TOVAR MONTILLA","1:10.594","6","6.746","0.944"
"8","784","Isabella Diaz botero","1:25.603","3","21.755","15.009"
