"Pos.","N°","Nombre","Puntos","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","227","Rigo German SALAZAR CERON","15","","55.821","Yamaha","Quindío","CLUB MONSTER GARAGE","10"
"2","710","Alexander DIAZ CASTAÑO","13","1.719","56.458","Yamaha","Cundinamarca","CLUB GIRARDOT RACING","10"
"3","178","Carlos Andres CARDOZO MILLAN","11","2.423","57.348","Yamaha","Tolima","CLUB PISTON RACING","10"
"4","83","Guillermo Augusto DIAZ","10","9.726","58.145","Yamaha","Quindío","CLUB MONSTER GARAGE","10"
"5","217","Juan Benedicto MARTINEZ GUTIERREZ","9","35.120","58.786","Yamaha","Quindío","CLUB MONSTER GARAGE","10"
"6","722","Edwin JARAMILLO GALLEGO","8","38.280","57.261","Yamaha","Quindío","CLUB MONSTER GARAGE","10"
