"Pos.","N°","Nombre","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior"
"1","227","Rigo German SALAZAR CERON","53.301","4","",""
"2","710","Alexander DIAZ CASTAÑO","55.801","4","2.500","2.500"
"3","722","Edwin JARAMILLO GALLEGO","58.244","3","4.943","2.443"
"4","178","Carlos Andres CARDOZO MILLAN","59.523","2","6.222","1.279"
"5","83","Guillermo Augusto DIAZ","1:01.232","3","7.931","1.709"
