"Pos.","N°","Nombre","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior"
"1","710","Juan David MENDOZA DUARTE","Meta","VILLAVICENCIO RACING CLUB","Yamaha","1:37.649","7","3","3","",""
"2","610-E","Jhon Sebastián agredo","Putumayo","motoclub mocoa","Yamaha","1:37.722","7","2","2","30.812","30.812"
"3","146","Gabriel Alejandro MESA ARROYO","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","1:47.624","7","2","1","1:36.124","1:05.312"
