"Pos.","N°","Nombre","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior"
"1","563","Jhon Jader Valero Palencia","Cauca","CLUB CORONA CLUB XTREME PARK","Honda","1:45.758","7","1","15","",""
"NE","4","Mauricio Alexander URBANO QUINTAZ","Putumayo","CLUB DEPORTIVO TEAM BASVI","Honda","","","0","0","NE",""
