"Pos.","N°","Nombre","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","R1. ","R2. "
"1","563","Jhon Jader Valero Palencia","30","0","Honda","Cauca","CLUB CORONA CLUB XTREME PARK","15","15"
"2","4","Mauricio Alexander URBANO QUINTAZ","13","17","Honda","Putumayo","CLUB DEPORTIVO TEAM BASVI","13","0"
