"Pos.","N°","Nombre","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","R1. ","R2. "
"1","626","Juan Antonio PIEDRAHITA VARELA","16","0","KTM","Risaralda","CLUB LOS GUEPARDOS","1","15"
"2","420","Esteban ARCILA ACEVEDO","16","0","Husqvarna","Risaralda","CLUB LOS GUEPARDOS","3","13"
"3","610-E","Jhon Sebastián agredo","13","3","Husqvarna","Putumayo","motoclub mocoa","2","11"
"4","710","Juan David MENDOZA DUARTE","11","5","Yamaha","Meta","VILLAVICENCIO RACING CLUB","1","10"
"5","146","Gabriel Alejandro MESA ARROYO","10","6","Yamaha","Nariño","CLUB DEPORTIVO BUFALO XTREM","1","9"
"6","527","Jean Pierre ARROYAVE ROJAS","9","7","GasGas","Valle del Cauca","Carasucias","1","8"
"7","280","Samuel Andres DELGADO RAMIREZ","8","8","GasGas","Nariño","CLUB DEPORTIVO BUFALO XTREM","1","7"
"8","215","Sebastian LOPEZ CORTES","7","9","KTM","Nariño","CLUB DEPORTIVO BUFALO XTREM","1","6"
"9","777","Dominique Samuel Díaz Maca","6","10","KTM","Putumayo","CLUB EXTREME RACING","1","5"
