"Pos.","N°","Nombre","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior"
"1","563","Jhon Jader Valero Palencia","Cauca","CLUB CORONA CLUB XTREME PARK","Honda","1:37.849","8","3","15","",""
"2","4","Mauricio Alexander URBANO QUINTAZ","Putumayo","CLUB DEPORTIVO TEAM BASVI","Honda","1:38.696","6","4","13","2 Vueltas","2 Vueltas"
