"Pos.","N°","Nombre","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior"
"1","710","Juan David MENDOZA DUARTE","Meta","VILLAVICENCIO RACING CLUB","Yamaha","1:37.476","8","6","15","",""
"2","610-E","Jhon Sebastián agredo","Putumayo","motoclub mocoa","Yamaha","1:36.242","8","5","13","25.443","25.443"
"3","146","Gabriel Alejandro MESA ARROYO","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","1:46.229","8","5","11","1:15.033","49.590"
