"Pos.","N°","Nombre","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior"
"1","610-E","Jhon Sebastián agredo","Putumayo","motoclub mocoa","Yamaha","1:34.428","9","2","15","",""
"2","710","Juan David MENDOZA DUARTE","Meta","VILLAVICENCIO RACING CLUB","Yamaha","1:35.460","9","3","13","25.117","25.117"
"3","146","Gabriel Alejandro MESA ARROYO","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","1:46.648","8","6","11","1 Vuelta","1 Vuelta"
