"Pos.","N°","Nombre","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior"
"1","141","Isabela VILLEGAS BRAND","Valle del Cauca","Team Potenza","Yamaha","1:47.236","8","3","15","",""
"2","219","Aisha CASTRO","Tolima","GR 522 RACING","KTM","1:49.010","8","3","13","20.625","20.625"
"3","834","Valery Fernanda ARIAS ARCOS","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:53.906","8","4","11","46.994","26.369"
"4","516","Laura Sofia BALCAZAR","Meta","VILLAVICENCIO RACING CLUB","Husqvarna","2:04.069","8","3","10","1:41.106","54.112"
