"Pos.","N°","Nombre","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","R1. ","R2. "
"1","336","DAVID ALEJANDRO IBARRA ECHEVERRY","17","0","TVS","Putumayo","CLUB EXTREME RACING","2","15"
"2","444","Faber Andrés giraldo","16","1","KTM","Valle del Cauca","Carasucias","3","13"
"3","81","Santiago Garcés Jiménez","12","5","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","1","11"
"4","61","Luis Fernando LOPEZ","11","6","Husqvarna","Putumayo","CLUB EXTREME RACING","1","10"
"5","58","Diego Ignacio ROJAS ROSERO","10","7","Yamaha","Nariño","CLUB DEPORTIVO BUFALO XTREM","1","9"
"6","424","andres fernando paz luna","8","9","Husqvarna","Putumayo","TEAM RACING MOCOA","0","8"
"7","177","ROBINSON CAMILO RAMIREZ GIL","8","9","Honda","Nariño","CLUB MOTEROS RIDERS LA UNION","1","7"
"8","128","Santiago RAMIREZ GIL","7","10","Yamaha","Nariño","CLUB DEPORTIVO LOS CAFETEROS","1","6"
