"Pos.","N°","Nombre","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","R1. ","R2. "
"1","523","Richard Alexander ALARCON ALVAREZ","17","0","KTM","Putumayo","CLUB EXTREME RACING","2","15"
"2","335","JOSE LUIS IBARRA VALLEJO","16","1","TVS","Putumayo","CLUB EXTREME RACING","3","13"
"3","311","Henry MORENO BENAVIDES","12","5","Yamaha","Nariño","CLUB MOTEROS RIDERS LA UNION","1","11"
"4","202","Ivan Dario BENAVIDES FAJARDO","11","6","Yamaha","Nariño","CLUB DEPORTIVO BUFALO XTREM","1","10"
"5","227","CARLOS ALBERTO LUCERO","10","7","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","1","9"
"6","182-E","Andres Felipe VALENCIA ALEGRIA","9","8","Yamaha","Cauca","Club Cauca","1","8"
"7","177","ROBINSON RAMIREZ MONSALVE","8","9","HONDA","CAUCA","","1","7"
"8","34","Carlos Alberto ALARCON FLOREZ","1","16","GASGAS","CAUCA","","1","0"
